Tournament,Match,gameID,week,bTeam,rTeam,date,link,Time,bKills,rKills,toalKills,bTowers,rTowers,totalTowers,bDragons,rDragons,totalDragons,bBarons,rBarons,totalBarons,bGold,rGold,totalGold,winner
LCK Spring 2022,Nongshim RedForce vs Fredit BRION,177,4,Nongshim RedForce,Fredit BRION,2022-02-11,/game/stats/36790/page-game/,2304,11,19,30,5,11,16,3,3,6,0,3,3,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,Nongshim RedForce vs Fredit BRION,178,4,Nongshim RedForce,Fredit BRION,2022-02-11,/game/stats/36791/page-game/,2427,10,16,26,10,6,16,3,3,6,2,0,2,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,Nongshim RedForce vs Fredit BRION,179,4,Fredit BRION,Nongshim RedForce,2022-02-11,/game/stats/36792/page-game/,2174,19,7,26,9,1,10,4,1,5,1,1,2,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,Liiv SANDBOX vs Gen.G eSports,183,4,Liiv SANDBOX,Gen.G eSports,2022-02-10,/game/stats/36787/page-game/,1890,18,5,23,9,2,11,5,0,5,1,0,1,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,Liiv SANDBOX vs Gen.G eSports,184,4,Liiv SANDBOX,Gen.G eSports,2022-02-10,/game/stats/36788/page-game/,1777,5,15,20,0,9,9,1,3,4,0,2,2,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,Liiv SANDBOX vs Gen.G eSports,185,4,Liiv SANDBOX,Gen.G eSports,2022-02-10,/game/stats/36789/page-game/,1896,11,22,33,3,10,13,0,4,4,0,1,1,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,DWG KIA vs Kwangdong Freecs,189,4,DWG KIA,Kwangdong Freecs,2022-02-10,/game/stats/36784/page-game/,2316,13,6,19,11,4,15,3,3,6,2,0,2,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,DWG KIA vs Kwangdong Freecs,190,4,Kwangdong Freecs,DWG KIA,2022-02-10,/game/stats/36785/page-game/,1909,9,13,22,3,9,12,2,2,4,0,1,1,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,Nongshim RedForce vs Gen.G eSports,193,5,Nongshim RedForce,Gen.G eSports,2022-02-16,/game/stats/37340/page-game/,1749,6,15,21,3,11,14,0,4,4,0,1,1,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,Nongshim RedForce vs Gen.G eSports,194,5,Nongshim RedForce,Gen.G eSports,2022-02-16,/game/stats/37341/page-game/,1694,5,11,16,3,10,13,0,4,4,0,1,1,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,Liiv SANDBOX vs Fredit BRION,197,5,Liiv SANDBOX,Fredit BRION,2022-02-16,/game/stats/37337/page-game/,1849,15,10,25,8,4,12,3,2,5,1,0,1,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,Liiv SANDBOX vs Fredit BRION,198,5,Fredit BRION,Liiv SANDBOX,2022-02-16,/game/stats/37338/page-game/,2039,17,7,24,10,4,14,1,4,5,2,0,2,0.0,0.0,0.0,Liiv SANDBOX
LCK Spring 2022,Liiv SANDBOX vs Fredit BRION,199,5,Liiv SANDBOX,Fredit BRION,2022-02-16,/game/stats/37339/page-game/,1827,14,5,19,9,2,11,4,0,4,1,0,1,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,KT Rolster vs T1,203,5,KT Rolster,T1,2022-02-18,/game/stats/37349/page-game/,1954,25,22,47,1,11,12,2,2,4,0,2,2,0.0,0.0,0.0,T1
LCK Spring 2022,KT Rolster vs T1,204,5,KT Rolster,T1,2022-02-18,/game/stats/37350/page-game/,1320,8,20,28,2,10,12,2,1,3,0,1,1,0.0,0.0,0.0,T1
LCK Spring 2022,DWG KIA vs DRX,207,5,DWG KIA,DRX,2022-02-17,/game/stats/37346/page-game/,2150,9,4,13,8,5,13,4,2,6,1,0,1,0.0,0.0,0.0,DRX
LCK Spring 2022,DWG KIA vs DRX,208,5,DRX,DWG KIA,2022-02-17,/game/stats/37347/page-game/,2070,7,4,11,10,2,12,2,3,5,1,0,1,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,DWG KIA vs DRX,209,5,DWG KIA,DRX,2022-02-17,/game/stats/37348/page-game/,2805,9,11,20,5,8,13,4,2,6,1,2,3,0.0,0.0,0.0,DRX
LCK Spring 2022,Hanwha Life eSports vs Kwangdong Freecs,213,5,Hanwha Life eSports,Kwangdong Freecs,2022-02-17,/game/stats/37343/page-game/,2073,4,17,21,3,9,12,0,5,5,0,1,1,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,Hanwha Life eSports vs Kwangdong Freecs,214,5,Hanwha Life eSports,Kwangdong Freecs,2022-02-17,/game/stats/37344/page-game/,2636,13,20,33,5,9,14,1,5,6,3,0,3,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,Gen.G eSports vs Liiv SANDBOX,217,5,Gen.G eSports,Liiv SANDBOX,2022-02-18,/game/stats/37352/page-game/,1576,17,7,24,11,0,11,1,3,4,1,0,1,0.0,0.0,0.0,Liiv SANDBOX
LCK Spring 2022,Gen.G eSports vs Liiv SANDBOX,218,5,Liiv SANDBOX,Gen.G eSports,2022-02-18,/game/stats/37353/page-game/,1922,9,29,38,3,10,13,1,3,4,1,0,1,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,Kwangdong Freecs vs Fredit BRION,221,5,Kwangdong Freecs,Fredit BRION,2022-02-19,/game/stats/37358/page-game/,1772,12,5,17,8,2,10,4,0,4,1,0,1,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,Kwangdong Freecs vs Fredit BRION,222,5,Fredit BRION,Kwangdong Freecs,2022-02-19,/game/stats/37359/page-game/,2702,16,12,28,8,6,14,4,2,6,1,1,2,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,Kwangdong Freecs vs Fredit BRION,223,5,Kwangdong Freecs,Fredit BRION,2022-02-19,/game/stats/37360/page-game/,2701,16,9,25,11,6,17,3,3,6,1,2,3,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,Hanwha Life eSports vs DRX,227,5,Hanwha Life eSports,DRX,2022-02-19,/game/stats/37355/page-game/,1921,19,6,25,10,1,11,4,0,4,2,0,2,0.0,0.0,0.0,DRX
LCK Spring 2022,Hanwha Life eSports vs DRX,228,5,DRX,Hanwha Life eSports,2022-02-19,/game/stats/37356/page-game/,2568,4,13,17,3,9,12,3,3,6,0,2,2,0.0,0.0,0.0,Hanwha Life eSports
LCK Spring 2022,Nongshim RedForce vs T1,231,5,Nongshim RedForce,T1,2022-02-20,/game/stats/37364/page-game/,2373,0,8,8,3,7,10,1,5,6,1,1,2,0.0,0.0,0.0,T1
LCK Spring 2022,Nongshim RedForce vs T1,232,5,Nongshim RedForce,T1,2022-02-20,/game/stats/37365/page-game/,2456,28,20,48,11,8,19,4,1,5,2,1,3,0.0,0.0,0.0,T1
LCK Spring 2022,Nongshim RedForce vs T1,233,5,T1,Nongshim RedForce,2022-02-20,/game/stats/37366/page-game/,1779,20,5,25,8,3,11,3,2,5,1,0,1,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,DWG KIA vs KT Rolster,237,5,DWG KIA,KT Rolster,2022-02-20,/game/stats/37361/page-game/,2099,2,8,10,2,9,11,0,5,5,0,1,1,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,DWG KIA vs KT Rolster,238,5,DWG KIA,KT Rolster,2022-02-20,/game/stats/37362/page-game/,1789,9,9,18,7,2,9,3,2,5,0,0,0,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,DWG KIA vs KT Rolster,239,5,DWG KIA,KT Rolster,2022-02-20,/game/stats/37363/page-game/,2381,14,7,21,9,7,16,4,3,7,2,0,2,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,KT Rolster vs Kwangdong Freecs,243,6,KT Rolster,Kwangdong Freecs,2022-02-23,/game/stats/37753/page-game/,2040,8,20,28,1,11,12,1,4,5,1,0,1,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,KT Rolster vs Kwangdong Freecs,244,6,KT Rolster,Kwangdong Freecs,2022-02-23,/game/stats/37754/page-game/,1672,2,17,19,0,8,8,1,3,4,0,1,1,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,Gen.G eSports vs Nongshim RedForce,247,6,Gen.G eSports,Nongshim RedForce,2022-02-25,/game/stats/37765/page-game/,1563,13,5,18,9,2,11,3,0,3,1,0,1,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,Gen.G eSports vs Nongshim RedForce,248,6,Gen.G eSports,Nongshim RedForce,2022-02-25,/game/stats/37766/page-game/,1424,15,3,18,9,1,10,3,0,3,1,0,1,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,Liiv SANDBOX vs Hanwha Life eSports,251,6,Liiv SANDBOX,Hanwha Life eSports,2022-02-24,/game/stats/37762/page-game/,2288,18,12,30,11,4,15,2,4,6,2,0,2,0.0,0.0,0.0,Hanwha Life eSports
LCK Spring 2022,Liiv SANDBOX vs Hanwha Life eSports,252,6,Hanwha Life eSports,Liiv SANDBOX,2022-02-24,/game/stats/37763/page-game/,2198,6,14,20,5,9,14,3,3,6,0,1,1,0.0,0.0,0.0,Liiv SANDBOX
LCK Spring 2022,Fredit BRION vs DRX,255,6,Fredit BRION,DRX,2022-02-24,/game/stats/37759/page-game/,1855,3,11,14,2,10,12,1,4,5,0,1,1,0.0,0.0,0.0,DRX
LCK Spring 2022,Fredit BRION vs DRX,256,6,Fredit BRION,DRX,2022-02-24,/game/stats/37760/page-game/,2031,14,10,24,9,2,11,4,1,5,1,0,1,0.0,0.0,0.0,DRX
LCK Spring 2022,Fredit BRION vs DRX,257,6,DRX,Fredit BRION,2022-02-24,/game/stats/37761/page-game/,1727,13,7,20,11,1,12,3,2,5,1,0,1,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,T1 vs DWG KIA,261,6,T1,DWG KIA,2022-02-23,/game/stats/37756/page-game/,1805,22,11,33,9,2,11,2,1,3,2,0,2,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,T1 vs DWG KIA,262,6,DWG KIA,T1,2022-02-23,/game/stats/37757/page-game/,2776,12,12,24,5,9,14,5,2,7,1,2,3,0.0,0.0,0.0,T1
LCK Spring 2022,Kwangdong Freecs vs DWG KIA,265,6,Kwangdong Freecs,DWG KIA,2022-02-25,/game/stats/37768/page-game/,2090,3,13,16,3,8,11,2,3,5,0,1,1,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,Kwangdong Freecs vs DWG KIA,266,6,Kwangdong Freecs,DWG KIA,2022-02-25,/game/stats/37769/page-game/,2102,6,12,18,4,8,12,2,3,5,0,1,1,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,Fredit BRION vs Liiv SANDBOX,269,8,Fredit BRION,Liiv SANDBOX,2022-03-10,/game/stats/38372/page-game/,1717,23,4,27,9,1,10,3,1,4,1,0,1,0.0,0.0,0.0,Liiv SANDBOX
LCK Spring 2022,Fredit BRION vs Liiv SANDBOX,270,8,Liiv SANDBOX,Fredit BRION,2022-03-10,/game/stats/38373/page-game/,1864,7,15,22,2,8,10,2,2,4,0,0,0,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,Hanwha Life eSports vs KT Rolster,273,8,Hanwha Life eSports,KT Rolster,2022-03-10,/game/stats/38369/page-game/,1917,3,17,20,2,10,12,1,4,5,0,2,2,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,Hanwha Life eSports vs KT Rolster,274,8,KT Rolster,Hanwha Life eSports,2022-03-10,/game/stats/38370/page-game/,1985,18,9,27,10,2,12,3,2,5,2,0,2,0.0,0.0,0.0,Hanwha Life eSports
LCK Spring 2022,DWG KIA vs Gen.G eSports,277,8,DWG KIA,Gen.G eSports,2022-03-09,/game/stats/38366/page-game/,2497,7,17,24,4,10,14,2,5,7,1,2,3,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,DWG KIA vs Gen.G eSports,278,8,DWG KIA,Gen.G eSports,2022-03-09,/game/stats/38367/page-game/,2176,18,7,25,10,5,15,5,1,6,1,1,2,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,DWG KIA vs Gen.G eSports,279,8,Gen.G eSports,DWG KIA,2022-03-09,/game/stats/38368/page-game/,2539,16,10,26,10,3,13,5,2,7,1,0,1,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,Nongshim RedForce vs DRX,283,8,Nongshim RedForce,DRX,2022-03-09,/game/stats/38363/page-game/,2019,11,18,29,1,8,9,0,4,4,0,1,1,0.0,0.0,0.0,DRX
LCK Spring 2022,Nongshim RedForce vs DRX,284,8,Nongshim RedForce,DRX,2022-03-09,/game/stats/38364/page-game/,1872,4,10,14,4,7,11,2,3,5,0,1,1,0.0,0.0,0.0,DRX
LCK Spring 2022,T1 vs KT Rolster,287,7,T1,KT Rolster,2022-03-06,/game/stats/38169/page-game/,2103,16,15,31,9,4,13,2,2,4,0,1,1,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,T1 vs KT Rolster,288,7,KT Rolster,T1,2022-03-06,/game/stats/38170/page-game/,2052,17,17,34,4,10,14,2,3,5,0,1,1,0.0,0.0,0.0,T1
LCK Spring 2022,Liiv SANDBOX vs DRX,291,7,Liiv SANDBOX,DRX,2022-03-06,/game/stats/38166/page-game/,1846,5,29,34,3,10,13,1,3,4,0,2,2,0.0,0.0,0.0,DRX
LCK Spring 2022,Liiv SANDBOX vs DRX,292,7,Liiv SANDBOX,DRX,2022-03-06,/game/stats/38167/page-game/,1798,5,14,19,0,9,9,1,3,4,0,1,1,0.0,0.0,0.0,DRX
LCK Spring 2022,Fredit BRION vs Nongshim RedForce,295,7,Fredit BRION,Nongshim RedForce,2022-03-05,/game/stats/38163/page-game/,2627,12,15,27,10,5,15,1,5,6,3,0,3,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,Fredit BRION vs Nongshim RedForce,296,7,Nongshim RedForce,Fredit BRION,2022-03-05,/game/stats/38164/page-game/,2485,11,11,22,11,4,15,2,4,6,2,0,2,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,Fredit BRION vs Nongshim RedForce,297,7,Fredit BRION,Nongshim RedForce,2022-03-05,/game/stats/38165/page-game/,2315,20,12,32,9,3,12,4,1,5,1,0,1,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,Gen.G eSports vs Kwangdong Freecs,301,7,Gen.G eSports,Kwangdong Freecs,2022-03-05,/game/stats/38160/page-game/,2112,6,17,23,3,10,13,3,3,6,0,1,1,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,Gen.G eSports vs Kwangdong Freecs,302,7,Kwangdong Freecs,Gen.G eSports,2022-03-05,/game/stats/38161/page-game/,2203,10,17,27,4,8,12,3,3,6,1,0,1,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,Gen.G eSports vs Kwangdong Freecs,303,7,Gen.G eSports,Kwangdong Freecs,2022-03-05,/game/stats/38162/page-game/,1984,13,5,18,10,2,12,4,1,5,1,0,1,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,DWG KIA vs Hanwha Life eSports,307,7,DWG KIA,Hanwha Life eSports,2022-03-04,/game/stats/38157/page-game/,2868,12,11,23,10,5,15,4,3,7,2,1,3,0.0,0.0,0.0,Hanwha Life eSports
LCK Spring 2022,DWG KIA vs Hanwha Life eSports,308,7,Hanwha Life eSports,DWG KIA,2022-03-04,/game/stats/38158/page-game/,2069,6,14,20,1,8,9,3,2,5,0,1,1,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,DRX vs KT Rolster,311,7,DRX,KT Rolster,2022-03-04,/game/stats/38154/page-game/,2498,23,16,39,9,6,15,4,3,7,1,1,2,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,DRX vs KT Rolster,312,7,DRX,KT Rolster,2022-03-04,/game/stats/38155/page-game/,1701,19,11,30,11,3,14,3,1,4,1,0,1,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,Nongshim RedForce vs Kwangdong Freecs,315,7,Nongshim RedForce,Kwangdong Freecs,2022-03-03,/game/stats/38151/page-game/,1762,6,24,30,1,11,12,0,4,4,0,1,1,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,Nongshim RedForce vs Kwangdong Freecs,316,7,Kwangdong Freecs,Nongshim RedForce,2022-03-03,/game/stats/38152/page-game/,2446,17,10,27,10,4,14,3,2,5,0,1,1,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,Gen.G eSports vs T1,319,7,Gen.G eSports,T1,2022-03-03,/game/stats/38148/page-game/,1924,6,20,26,3,10,13,2,2,4,0,1,1,0.0,0.0,0.0,T1
LCK Spring 2022,Gen.G eSports vs T1,320,7,Gen.G eSports,T1,2022-03-03,/game/stats/38149/page-game/,2154,9,15,24,4,11,15,4,1,5,0,2,2,0.0,0.0,0.0,T1
LCK Spring 2022,DWG KIA vs Liiv SANDBOX,323,7,DWG KIA,Liiv SANDBOX,2022-03-02,/game/stats/38145/page-game/,1725,14,1,15,11,4,15,3,1,4,1,0,1,0.0,0.0,0.0,Liiv SANDBOX
LCK Spring 2022,DWG KIA vs Liiv SANDBOX,324,7,Liiv SANDBOX,DWG KIA,2022-03-02,/game/stats/38146/page-game/,1558,2,22,24,3,11,14,0,4,4,0,1,1,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,Fredit BRION vs Hanwha Life eSports,327,7,Fredit BRION,Hanwha Life eSports,2022-03-02,/game/stats/38142/page-game/,2096,7,5,12,11,3,14,4,1,5,2,0,2,0.0,0.0,0.0,Hanwha Life eSports
LCK Spring 2022,Fredit BRION vs Hanwha Life eSports,328,7,Hanwha Life eSports,Fredit BRION,2022-03-02,/game/stats/38143/page-game/,1756,17,6,23,8,2,10,1,3,4,1,0,1,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,Fredit BRION vs Hanwha Life eSports,329,7,Fredit BRION,Hanwha Life eSports,2022-03-02,/game/stats/38144/page-game/,2130,13,12,25,7,6,13,3,2,5,0,1,1,0.0,0.0,0.0,Hanwha Life eSports
LCK Spring 2022,Liiv SANDBOX vs Nongshim RedForce,333,6,Liiv SANDBOX,Nongshim RedForce,2022-02-27,/game/stats/37780/page-game/,1661,7,14,21,2,9,11,2,2,4,0,1,1,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,Liiv SANDBOX vs Nongshim RedForce,334,6,Liiv SANDBOX,Nongshim RedForce,2022-02-27,/game/stats/37781/page-game/,2498,16,12,28,11,6,17,4,2,6,2,0,2,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,Liiv SANDBOX vs Nongshim RedForce,335,6,Nongshim RedForce,Liiv SANDBOX,2022-02-27,/game/stats/37782/page-game/,2385,17,4,21,10,1,11,4,1,5,2,0,2,0.0,0.0,0.0,Liiv SANDBOX
LCK Spring 2022,DRX vs Gen.G eSports,339,6,DRX,Gen.G eSports,2022-02-27,/game/stats/37777/page-game/,1751,8,18,26,3,10,13,1,3,4,0,1,1,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,DRX vs Gen.G eSports,340,6,DRX,Gen.G eSports,2022-02-27,/game/stats/37778/page-game/,1918,10,19,29,4,9,13,0,4,4,1,0,1,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,Hanwha Life eSports vs T1,343,6,Hanwha Life eSports,T1,2022-02-26,/game/stats/37774/page-game/,1825,12,19,31,3,9,12,2,2,4,0,1,1,0.0,0.0,0.0,T1
LCK Spring 2022,Hanwha Life eSports vs T1,344,6,Hanwha Life eSports,T1,2022-02-26,/game/stats/37775/page-game/,1595,7,15,22,1,9,10,1,2,3,0,1,1,0.0,0.0,0.0,T1
LCK Spring 2022,Kwangdong Freecs vs T1,347,8,Kwangdong Freecs,T1,2022-03-11,/game/stats/38375/page-game/,2179,11,14,25,3,10,13,4,1,5,0,1,1,0.0,0.0,0.0,T1
LCK Spring 2022,Kwangdong Freecs vs T1,348,8,Kwangdong Freecs,T1,2022-03-11,/game/stats/38376/page-game/,1860,20,8,28,7,2,9,3,1,4,1,0,1,0.0,0.0,0.0,T1
LCK Spring 2022,Liiv SANDBOX vs KT Rolster,351,8,Liiv SANDBOX,KT Rolster,2022-03-12,/game/stats/38381/page-game/,1772,5,19,24,2,10,12,1,3,4,0,1,1,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,Liiv SANDBOX vs KT Rolster,352,8,Liiv SANDBOX,KT Rolster,2022-03-12,/game/stats/38382/page-game/,2068,12,18,30,5,9,14,2,3,5,0,1,1,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,DWG KIA vs Nongshim RedForce,355,8,DWG KIA,Nongshim RedForce,2022-03-11,/game/stats/38378/page-game/,2503,21,8,29,11,4,15,4,1,5,2,0,2,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,DWG KIA vs Nongshim RedForce,356,8,Nongshim RedForce,DWG KIA,2022-03-11,/game/stats/38379/page-game/,2031,1,17,18,2,9,11,0,5,5,0,2,2,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,Hanwha Life eSports vs Gen.G eSports,359,8,Hanwha Life eSports,Gen.G eSports,2022-03-12,/game/stats/38384/page-game/,1748,2,12,14,1,10,11,1,3,4,0,1,1,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,Hanwha Life eSports vs Gen.G eSports,360,8,Hanwha Life eSports,Gen.G eSports,2022-03-12,/game/stats/38385/page-game/,2584,15,25,40,4,10,14,4,3,7,0,2,2,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,Nongshim RedForce vs Hanwha Life eSports,363,9,Nongshim RedForce,Hanwha Life eSports,2022-03-19,/game/stats/38803/page-game/,2597,15,10,25,8,5,13,4,2,6,1,1,2,0.0,0.0,0.0,Hanwha Life eSports
LCK Spring 2022,Nongshim RedForce vs Hanwha Life eSports,364,9,Hanwha Life eSports,Nongshim RedForce,2022-03-19,/game/stats/38804/page-game/,1653,7,17,24,0,8,8,0,4,4,0,1,1,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,Gen.G eSports vs KT Rolster,367,9,Gen.G eSports,KT Rolster,2022-03-18,/game/stats/38800/page-game/,1919,17,8,25,11,1,12,2,3,5,2,0,2,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,Gen.G eSports vs KT Rolster,368,9,KT Rolster,Gen.G eSports,2022-03-18,/game/stats/38801/page-game/,1265,11,2,13,7,0,7,3,0,3,0,0,0,0.0,0.0,0.0,Gen.G eSports
LCK Spring 2022,Gen.G eSports vs KT Rolster,369,9,Gen.G eSports,KT Rolster,2022-03-18,/game/stats/38802/page-game/,1652,20,10,30,10,2,12,3,1,4,1,0,1,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,T1 vs Liiv SANDBOX,373,9,T1,Liiv SANDBOX,2022-03-18,/game/stats/38797/page-game/,2465,10,19,29,8,9,17,2,4,6,0,2,2,0.0,0.0,0.0,Liiv SANDBOX
LCK Spring 2022,T1 vs Liiv SANDBOX,374,9,Liiv SANDBOX,T1,2022-03-18,/game/stats/38798/page-game/,1293,3,23,26,2,10,12,0,2,2,0,1,1,0.0,0.0,0.0,T1
LCK Spring 2022,T1 vs Liiv SANDBOX,375,9,T1,Liiv SANDBOX,2022-03-18,/game/stats/38799/page-game/,1494,20,8,28,11,1,12,1,2,3,1,0,1,0.0,0.0,0.0,Liiv SANDBOX
LCK Spring 2022,Kwangdong Freecs vs Hanwha Life eSports,379,9,Kwangdong Freecs,Hanwha Life eSports,2022-03-17,/game/stats/38794/page-game/,1814,15,1,16,10,3,13,4,0,4,1,0,1,0.0,0.0,0.0,Hanwha Life eSports
LCK Spring 2022,Kwangdong Freecs vs Hanwha Life eSports,380,9,Hanwha Life eSports,Kwangdong Freecs,2022-03-17,/game/stats/38795/page-game/,1811,10,4,14,11,3,14,4,0,4,1,0,1,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,Kwangdong Freecs vs Hanwha Life eSports,381,9,Kwangdong Freecs,Hanwha Life eSports,2022-03-17,/game/stats/38796/page-game/,2190,25,7,32,9,1,10,4,1,5,1,0,1,0.0,0.0,0.0,Hanwha Life eSports
LCK Spring 2022,DRX vs DWG KIA,385,9,DRX,DWG KIA,2022-03-17,/game/stats/38791/page-game/,1537,4,18,22,1,8,9,0,4,4,0,1,1,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,DRX vs DWG KIA,386,9,DRX,DWG KIA,2022-03-17,/game/stats/38792/page-game/,1633,1,17,18,1,11,12,1,3,4,0,1,1,0.0,0.0,0.0,DWG KIA
LCK Spring 2022,Nongshim RedForce vs KT Rolster,389,9,Nongshim RedForce,KT Rolster,2022-03-16,/game/stats/38785/page-game/,2234,15,7,22,9,3,12,5,1,6,1,1,2,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,Nongshim RedForce vs KT Rolster,390,9,KT Rolster,Nongshim RedForce,2022-03-16,/game/stats/38786/page-game/,2023,14,10,24,9,2,11,5,0,5,2,0,2,0.0,0.0,0.0,Nongshim RedForce
LCK Spring 2022,Nongshim RedForce vs KT Rolster,391,9,Nongshim RedForce,KT Rolster,2022-03-16,/game/stats/38787/page-game/,1553,3,19,22,1,9,10,0,4,4,0,1,1,0.0,0.0,0.0,KT Rolster
LCK Spring 2022,DRX vs Kwangdong Freecs,395,8,DRX,Kwangdong Freecs,2022-03-13,/game/stats/38390/page-game/,2044,0,14,14,3,11,14,0,4,4,0,1,1,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,DRX vs Kwangdong Freecs,396,8,DRX,Kwangdong Freecs,2022-03-13,/game/stats/38391/page-game/,2458,16,11,27,10,4,14,4,1,5,1,0,1,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,DRX vs Kwangdong Freecs,397,8,Kwangdong Freecs,DRX,2022-03-13,/game/stats/38392/page-game/,1867,6,14,20,2,11,13,1,3,4,0,1,1,0.0,0.0,0.0,DRX
LCK Spring 2022,T1 vs Fredit BRION,401,8,T1,Fredit BRION,2022-03-13,/game/stats/38387/page-game/,1145,19,4,23,8,0,8,1,1,2,0,0,0,0.0,0.0,0.0,Fredit BRION
LCK Spring 2022,T1 vs Fredit BRION,402,8,Fredit BRION,T1,2022-03-13,/game/stats/38388/page-game/,1194,4,22,26,0,10,10,0,1,1,0,0,0,0.0,0.0,0.0,T1
LCK Spring 2022,T1 vs DRX,405,9,T1,DRX,2022-03-20,/game/stats/38812/page-game/,1764,16,4,20,8,1,9,4,1,5,0,0,0,0.0,0.0,0.0,DRX
LCK Spring 2022,T1 vs DRX,406,9,DRX,T1,2022-03-20,/game/stats/38813/page-game/,1831,9,21,30,2,10,12,0,4,4,0,1,1,0.0,0.0,0.0,T1
LCK Spring 2022,Kwangdong Freecs vs Liiv SANDBOX,409,9,Kwangdong Freecs,Liiv SANDBOX,2022-03-20,/game/stats/38809/page-game/,1918,16,5,21,10,5,15,3,2,5,1,0,1,0.0,0.0,0.0,Liiv SANDBOX
LCK Spring 2022,Kwangdong Freecs vs Liiv SANDBOX,410,9,Liiv SANDBOX,Kwangdong Freecs,2022-03-20,/game/stats/38810/page-game/,2094,8,21,29,3,9,12,3,2,5,0,1,1,0.0,0.0,0.0,Kwangdong Freecs
LCK Spring 2022,Fredit BRION vs DWG KIA,413,9,Fredit BRION,DWG KIA,2022-03-19,/game/stats/38806/page-game/,2393,18,9,27,10,2,12,2,3,5,2,0,2,0.0,0.0,0.0,DWG KIA
